hjd mag mag_err
2453888.20502 17.417953608142465 0.0123
2453888.24149 17.394753608142466 0.0153
2453888.27791 17.424353608142468 0.0133
2453889.01278 17.442053608142466 0.0268
2453889.0612 17.408853608142465 0.0134
2453891.86148 17.435353608142464 0.0231
2453891.9031 17.442653608142464 0.0178
2453891.94107 17.451653608142465 0.0194
2453891.9827 17.435053608142468 0.0146
2453892.01833 17.417853608142465 0.0116
2453892.05656 17.464453608142463 0.0116
2453892.09232 17.435053608142468 0.0106
2453892.13182 17.417953608142465 0.0151
2453892.28235 17.419453608142465 0.0181
2453892.87525 17.375653608142464 0.0373
2453892.93646 17.184653608142465 0.1018
2453893.03812 17.487353608142463 0.0556
2453893.07031 17.450453608142467 0.0398
2453893.13962 17.413353608142465 0.0241
2453893.17068 17.456053608142465 0.0195
2453893.20769 17.487453608142467 0.1191
2453893.23857 17.523353608142465 0.0573
2453893.26977 17.441553608142463 0.0311
2453893.30142 17.582153608142466 0.0703
2453893.84332 17.401853608142467 0.033
2453893.87607 17.450153608142465 0.0205
2453893.90584 17.434453608142466 0.0166
2453893.94329 17.421353608142468 0.0157
2453893.98032 17.427053608142465 0.0194
2453894.02461 17.434953608142465 0.0149
2453894.06177 17.422753608142465 0.0151
2453894.10247 17.405653608142465 0.0138
2453894.14213 17.413153608142466 0.018
2453894.18491 17.411453608142466 0.0126
2453894.22186 17.422553608142465 0.0138
2453894.25746 17.416453608142465 0.0143
2453894.29494 17.393153608142466 0.0256
2453894.84544 17.495653608142465 0.0369
2453894.88788 17.425453608142465 0.0223
2453894.92628 17.391653608142466 0.0192
2453894.96402 17.443053608142463 0.0158
2453895.00531 17.490653608142466 0.018
2453895.05185 17.419053608142466 0.0175
2453895.09297 17.432053608142468 0.0157
2453895.1336 17.430853608142463 0.0164
2453895.17031 17.436153608142465 0.0189
2453895.21052 17.442553608142465 0.0236
2453895.24915 17.490653608142466 0.0337
2453896.0438 17.497053608142465 0.0434
2453896.08097 17.453353608142464 0.0575
2453902.97729 17.500853608142464 0.0271
2453903.01467 17.871253608142467 0.2096
2453903.08463 17.432053608142468 0.0189
2453903.22138 17.418153608142465 0.0175
2453903.25894 17.425653608142465 0.0226
2453903.86738 17.581753608142463 0.0495
2453903.90515 17.492953608142464 0.04
2453903.96953 17.451453608142465 0.0387
2453904.00774 17.462253608142465 0.0172
2453904.05452 17.496053608142468 0.0524
2453905.19176 17.400653608142466 0.0118
2453905.23591 17.529153608142465 0.0451
2453905.8555 17.438953608142466 0.0226
2453905.899 17.476253608142464 0.017
2453905.93582 17.434753608142465 0.0136
2453905.97293 17.404053608142465 0.0122
2453906.00977 17.428753608142465 0.011
2453906.04645 17.414653608142466 0.0102
2453906.08355 17.429253608142467 0.0141
2453906.12448 17.402953608142468 0.0112
2453906.16015 17.420353608142463 0.0123
2453906.19725 17.426453608142467 0.0138
2453906.23667 17.418453608142464 0.0147
2453906.27305 17.419453608142465 0.0199
2453907.16406 17.434453608142466 0.0206
2453907.19989 17.424853608142463 0.0219
2453907.92826 17.498853608142465 0.0196
2453907.97065 17.467453608142463 0.0142
2453908.00675 17.471453608142465 0.0181
2453908.04297 17.434953608142465 0.0119
2453908.0806 17.417153608142463 0.0136
2453908.12542 17.432553608142463 0.0139
2453908.16602 17.394453608142463 0.0159
